Country,City,AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Italy,Brescia,59,35,2,59
United States of America,Brockton,43,36,4,43
United States of America,Brooklyn Park,53,40,4,53
United States of America,Brookside,51,31,6,51
Romania,Bucov,64,45,1,64
Hungary,Budaors,64,35,3,64
Germany,Budelsdorf,34,28,2,34
Russian Federation,Buy,21,21,0,18
Brazil,Cabreuva,164,0,15,164
Guinea-Bissau,Cacheu,120,27,1,120
Brazil,Cafarnaum,15,14,0,15
Spain,Callosa De Segura,46,33,2,46
Canada,Campbell River,33,33,1,19
Brazil,Campestre,53,7,4,53
Brazil,Campina Grande,43,18,2,43
Brazil,Campos Altos,28,8,2,28
Brazil,Cantagalo,59,13,3,59
Viet Nam,Cao Bang,47,32,0,47
Netherlands,Capelle,35,35,1,27
Brazil,Caraubas,30,19,0,30
Spain,Carmona,23,19,4,23
United States of America,Carney,50,33,4,50
United States of America,Carrollton,60,39,8,60
,Carteret,56,29,9,56
Czechia,Caslav,50,23,4,50
Mexico,Catemaco,60,26,2,60
Hungary,Cegled,63,31,2,63
Turkey,Cesme,45,45,0,20
Malaysia,Chaah,81,44,0,81
France,Chamonix Mont Blanc,44,31,0,44
India,Chandur,134,36,0,134
India,Dalkola,154,88,1,154
China,Danshui,103,38,13,103
Romania,Darmanesti,66,43,0,66
India,Dataganj,500,61,9,437
Nigeria,Daura,83,14,2,83
United States of America,Daytona Beach,40,33,5,40
Switzerland,Delemont,37,24,2,37
India,Devarkonda,93,27,0,93
India,Dhule,139,31,0,139
Chile,Diego De Almagro,16,16,2,14
Armenia,Dilijan,32,27,0,32
India,Dimapur,57,15,1,57
Russian Federation,Divnoye,39,39,0,24
Thailand,Dok Kham Tai,24,24,0,17
Russian Federation,Dokshukino,45,27,3,45
Philippines,Domalandan,60,25,1,60
United States of America,Chaska,52,42,2,52
United Kingdom of Great Britain and Northern Ireland,Chatham,26,23,6,26
France,Chauny,31,25,2,31
India,Chavakkad,66,25,0,66
Russian Federation,Chegem Vtoroy,50,25,4,50
China,Chengde,99,70,1,99
Russian Federation,Chernigovka,35,35,0,29
Nicaragua,Chichigalpa,66,17,4,66
Mexico,Chichihualco,46,11,3,46
Mexico,Chicoloapan,204,10,15,204
Colombia,Chiquinquira,50,4,4,50
United States of America,Chubbuck,52,3,7,52
Indonesia,Ciampea,154,154,2,126
United States of America,Clarksburg,42,40,2,42
United States of America,Clarksdale,55,27,2,55
Philippines,Claveria,95,23,0,95
China,Dongning,35,35,0,26
Austria,Dornbirn,29,25,3,29
Germany,Dorsten,33,24,3,33
Germany,Dortmund,35,24,3,35
Belgium,Dour,39,23,4,39
United Arab Emirates,Dubai,152,140,3,152
China,Duobao,137,137,1,96
United States of America,East Point,66,28,11,66
Canada,Edmundston,75,30,0,75
United Kingdom of Great Britain and Northern Ireland,Egham,53,6,13,53
Germany,Eisenhuttenstadt,34,25,3,34
Albania,Elbasan,71,44,1,71
United States of America,Emporia,59,32,3,59
China,Encheng,64,27,5,64
Kazakhstan,Energeticheskiy,64,47,0,64
China,Enshi,82,76,0,82
Nigeria,Enugu,170,15,6,170
Germany,Eppelborn,28,26,3,28
Germany,Eppstein,30,30,1,28
,Ercolano,48,48,1,30
Finland,Espoo,24,24,8,12
France,Evreux,29,29,1,28
United States of America,Fairmount,49,49,2,32
United Kingdom of Great Britain and Northern Ireland,Farnham,29,14,11,29
Austria,Feldkirch,34,25,2,34
China,Fengzhen,38,38,0,18
Bangladesh,Feni,157,36,2,157
Chad,Fianga,58,7,0,58
Germany,Filderstadt,34,26,2,34
Italy,Fiume Veneto,46,46,1,37
Republic of Moldova,Floresti,62,44,0,62
United States of America,Florin,65,30,12,65
Cuba,Fomento,56,17,3,56
United States of America,Forest Hills,72,16,13,72
United States of America,Forrest City,58,26,2,58
Romania,Bistrita,72,42,0,72
Thailand,Bo Phloi,29,19,0,29
,Bolama,121,24,0,121
United Kingdom of Great Britain and Northern Ireland,Bolton,25,25,3,23
Somalia,Bosaso,160,19,0,160
India,Bahadurgarh,190,70,18,190
,Bairiki,38,15,0,38
India,Baj Baj,186,6,21,186
Indonesia,Balaipungut,57,12,2,57
Ecuador,Balao,54,18,2,54
Australia,Ballarat,22,13,6,22
India,Balurghat,109,32,7,109
Thailand,Ban Dung,82,8,5,82
Iran (Islamic Republic of),Bandar E Torkaman,153,40,2,153
Mexico,Banderilla,53,29,0,53
Indonesia,Bandung,198,6,30,198
India,Bansbaria,210,3,27,210
Dominican Republic,Barahona,108,29,1,108
Guatemala,Barberena,63,26,1,63
Eritrea,Barentu,76,28,0,76
Brazil,Barra Do Corda,24,17,0,24
Switzerland,Basel,60,52,0,60
Nigeria,Bauchi,91,40,0,91
India,Baudh,151,47,2,151
United States of America,Beach Park,59,23,4,59
Germany,Bebra,57,48,0,57
Russian Federation,Belaya Kholunitsa,29,27,1,29
Bulgaria,Belene,50,50,0,44
Brazil,Belo Horizonte,41,21,0,41
Canada,Beloeil,39,26,1,39
Russian Federation,Belorechensk,47,47,1,30
United States of America,Bergenfield,53,46,3,53
Netherlands,Beuningen,39,39,0,39
Netherlands,Beverwijk,37,37,0,31
Pakistan,Bhit Shah,157,24,2,157
Japan,Bibai,44,32,3,44
United States of America,Biddeford,31,31,1,28
Brazil,Birigui,60,24,0,60
Russian Federation,Birsk,41,41,0,7
Italy,Bitonto,54,53,0,54
Bulgaria,Bjala,54,38,0,54
Poland,Blonie,41,41,0,29
United States of America,Bloomfield,52,40,3,52
United States of America,Boardman,55,39,2,55
Chad,Bol,70,17,0,70
Russian Federation,Bolotnoye,43,16,3,43
Brazil,Bom Sucesso,33,23,0,33
Brazil,Bonito,35,9,0,35
Sweden,Borlange,34,34,0,14
Germany,Bornheim,56,48,0,56
Tajikistan,Boshkengash,150,18,1,150
Czechia,Boskovice,72,45,0,72
Belgium,Boussu,55,42,1,55
Italy,Bovolone,84,59,0,84
Indonesia,Boyolali,201,2,28,201
China,Bozhou,162,44,24,162
Belarus,Braslav,34,34,0,19
Ireland,Bray,40,40,0,31
Indonesia,Brebes,151,23,10,151
Germany,Breisach,68,60,0,68
France,Bressuire,39,39,0,22
Brazil,Breves,19,14,0,19
Barbados,Bridgetown,73,24,0,73
United States of America,Bridgewater,45,38,2,45
France,Brie Comte Robert,74,45,1,74
United Kingdom of Great Britain and Northern Ireland,Brighouse,41,37,1,41
France,Brignais,68,58,0,68
Italy,Bronte,56,46,0,56
,Broome,30,19,0,30
Italy,Brunico,51,47,0,51
Tunisia,Bu Salim,56,56,0,23
India,Bulandshahr,170,48,12,170
Philippines,Bulihan,75,27,5,75
United Republic of Tanzania,Bungu,26,16,0,26
Germany,Burbach,54,48,0,54
France,Bures Sur Yvette,72,43,2,72
Brazil,Buriti Bravo,20,18,0,20
Brazil,Buritis,19,19,0,18
United States of America,Burlingame,50,34,2,50
Democratic Republic of the Congo,Butembo,45,16,0,45
Uganda,Buwenge,118,16,1,118
Brazil,Cachoeiro De Itapemirim,29,24,0,29
Mexico,Calpulalpan,279,38,3,279
Brazil,Camapua,27,26,0,27
Brazil,Cambuquira,42,21,0,42
United States of America,Campbell,48,32,3,48
Romania,Campina,57,40,0,57
,Cananeia,23,23,0,20
Chile,Canete,32,19,1,32
Brazil,Caninde,27,21,0,27
United States of America,Cape Canaveral,87,87,1,30
Venezuela (Bolivarian Republic of),Caraballeda,74,43,1,74
Brazil,Carangola,24,20,0,24
Haiti,Carrefour,112,38,0,112
Philippines,Casisang,57,9,3,57
Brazil,Castanhal,30,18,0,30
United States of America,Castlewood,44,37,2,44
Italy,Castrolibero,49,49,0,45
,Cavite,74,27,4,74
Italy,Cesano Maderno,92,65,0,92
India,Chaklasi,159,19,10,159
France,Challans,43,43,0,16
Belgium,Chapelle Lez Herlaimont,54,42,1,54
Russian Federation,Chertkovo,45,45,0,35
Thailand,Chiang Rai,67,13,2,67
Mexico,Chihuahua,64,31,1,64
Guatemala,Chiquimula,56,22,0,56
Republic of Moldova,Chisinau,55,49,0,55
India,Chit Baragaon,170,78,5,170
United Kingdom of Great Britain and Northern Ireland,Christchurch,37,32,2,37
Russian Federation,Chudovo,29,29,0,8
China,Chungho,167,22,34,167
Colombia,Cienaga De Oro,45,19,0,45
Colombia,Cimitarra,95,25,0,95
United States of America,Cinnaminson,48,48,1,40
United States of America,Clark,50,47,2,50
Belgium,Aalst,51,38,2,51
Iran (Islamic Republic of),Abadan,164,134,1,164
Russian Federation,Abaza,30,30,0,15
Nigeria,Abuja,73,36,0,73
Mexico,Acahualco,151,39,2,151
Germany,Achim,41,41,0,26
Brazil,Acu,25,25,0,19
India,Adalaj,162,22,11,162
Ethiopia,Adet,58,20,0,58
Algeria,Adrar,106,45,0,106
Ethiopia,Adwa,89,27,0,89
Japan,Ageo,89,19,23,89
Russian Federation,Agidel,41,41,0,18
Italy,Agrate Brianza,89,64,0,89
Spain,Aguilas,46,46,0,46
Germany,Ahrensburg,44,44,0,22
Hungary,Ajka,60,60,0,57
Pakistan,Akora,182,51,8,182
Turkey,Aksaray,46,46,0,37
Italy,Alba,65,64,0,65
Côte d'Ivoire,Alepe,41,23,0,41
United Kingdom of Great Britain and Northern Ireland,Alfreton,40,33,1,40
Italy,Alghero,48,48,0,27
Brazil,Alianca,25,25,0,20
United States of America,Alice,44,25,1,44
Netherlands,Alkmaar,37,37,0,32
Netherlands,Almelo,37,37,0,29
Guatemala,Alotenango,88,19,4,88
United States of America,Alpena,58,28,1,58
France,Angouleme,42,42,0,23
India,Angul,150,25,16,150
Ghana,Anloga,22,21,0,22
United States of America,Annandale,50,50,1,38
France,Annonay,59,51,0,59
Greece,Ano Liosia,87,43,4,87
Germany,Ansbach,65,51,0,65
Brazil,Aracaju,22,22,0,14
Brazil,Areal,46,22,1,46
Ghana,Asamankese,37,23,0,37
Mexico,Atoyac,52,29,0,52
Japan,Atsugi,73,31,9,73
Germany,Aurich,37,37,0,35
Brazil,Avare,61,20,0,61
Russian Federation,Avtury,59,46,1,59
Viet Nam,Bac Giang,179,8,22,179
Germany,Bad Durrenberg,53,47,0,53
Germany,Bad Mergentheim,64,53,0,64
Germany,Bad Orb,58,54,0,58
Germany,Bad Segeberg,44,44,0,23
France,Bagnols Sur Ceze,50,49,0,50
Brazil,Presidente Venceslau,14,10,0,14
,Prince Rupert,31,31,0,6
United States of America,Princeton,53,28,8,53
Bosnia and Herzegovina,Prozor,70,34,0,70
Venezuela (Bolivarian Republic of),Puerto Ayacucho,28,2,0,28
Poland,Pyrzyce,35,24,4,35
China,Qiyang,118,92,4,118
Viet Nam,Quang Ngai,62,32,0,62
Italy,Quattro Castella,36,36,3,27
Colombia,Quimbaya,106,0,8,106
Ecuador,Quito,131,0,7,131
Italy,Racale,70,60,1,70
United States of America,Racine,81,3,29,81
Lithuania,Radviliskis,33,33,0,24
India,Raghogarh,156,41,0,156
India,Rajapalaiyam,47,26,0,47
Iraq,Rawah,150,38,1,150
United States of America,Raymond,48,48,2,42
United States of America,Redland,54,31,5,54
Italy,Reggio Di Calabria,62,49,0,62
Spain,Requena,35,35,1,26
Romania,Resita,72,36,0,72
Brazil,Riachao,32,11,0,32
Italy,Rieti,45,45,1,27
United States of America,Rio Rancho,37,14,10,37
United States of America,Riverbank,53,25,11,53
United States of America,Riverdale,67,25,12,67
Mauritius,Riviere Du Rempart,30,29,0,30
Saudi Arabia,Riyadh,196,44,1,196
France,Roanne,39,24,2,39
France,Rombas,24,23,3,24
United States of America,Ronkonkoma,50,28,11,50
Poland,Ropczyce,60,17,6,60
,Roseau,100,25,0,100
Italy,Rosolini,68,28,4,68
Germany,Rosrath,35,23,3,35
United Kingdom of Great Britain and Northern Ireland,Royal Leamington Spa,36,13,8,36
United States of America,Royal Oak,157,4,29,157
Netherlands,Rozenburg,36,36,1,28
Japan,Ryotsu,43,43,0,30
Japan,Ryugasaki,69,69,2,30
Indonesia,Sabang,40,23,0,40
Italy,Sacile,56,43,2,56
France,Saint Brieuc,36,24,5,36
France,Saint Cloud,40,27,3,40
France,Saint Leu,50,27,1,50
France,Saint Lo,33,33,1,20
France,Sainte Savine,26,25,2,26
Japan,Sakata,37,37,0,29
Ukraine,Saky,43,43,1,41
Mexico,Salinas,25,25,1,21
Turkey,Samandag,55,44,0,55
Thailand,Samut Sakhon,53,23,0,53
India,Sanaur,180,180,2,167
Colombia,Sandona,41,6,3,41
Romania,Sannicolaul Mare,71,37,0,71
Brazil,Santa Cruz Do Capibaribe,35,18,1,35
Guatemala,Santa Lucia Milpas Altas,90,7,11,90
Italy,Santa Maria A Monte,38,38,2,28
Brazil,Sao Goncalo Do Amarante,48,22,0,48
India,Saraikela,171,67,0,171
France,Saran,29,29,2,26
Mexico,Papasquiaro,32,23,0,32
Russian Federation,Partizansk,33,33,0,20
Bangladesh,Patiya,152,41,1,152
Brazil,Patos,31,17,0,31
United States of America,Pawtucket,42,34,4,42
Romania,Pecica,74,35,1,74
Colombia,Pelaya,53,5,1,53
Czechia,Pelhrimov,56,22,3,56
Russian Federation,Petrovsk,32,32,0,6
Thailand,Phibun Mangsahan,57,24,0,57
Cambodia,Phumi Samraong,58,30,0,58
Brazil,Piedade,64,10,5,64
India,Pilkhuwa,500,61,2,500
Philippines,Pinamungahan,58,23,0,58
Belarus,Pinsk,36,36,0,27
Spain,Pinto,50,14,8,50
India,Pipri,199,48,0,199
India,Piro,185,83,1,185
Peru,Pisco,28,22,0,28
United States of America,Plainview,63,23,16,63
United States of America,Pleasant Hill,65,28,15,65
Burkina Faso,Po,43,9,1,43
Brazil,Pocoes,21,9,1,21
Ukraine,Pohrebyshche,82,36,1,82
Brazil,Pomerode,30,7,3,30
Belgium,Pont A Celles,40,22,5,40
Brazil,Ponta Grossa,12,12,0,9
Brazil,Pontal,131,3,8,131
Italy,Pontecagnano,55,55,1,39
United Kingdom of Great Britain and Northern Ireland,Poole,47,9,12,47
Papua New Guinea,Popondetta,21,20,0,21
Russian Federation,Porkhov,30,30,1,22
India,Port Blair,32,18,0,32
Russian Federation,Abakan,57,43,0,57
Canada,Abbotsford,27,27,4,23
Italy,Acireale,55,39,1,55
United States of America,Ada,50,26,3,50
Brazil,Adamantina,39,14,1,39
Switzerland,Adliswil,32,28,1,32
Mexico,Adolfo Ruiz Cortines,84,17,3,84
Brazil,Aguai,68,4,6,68
Romania,Aiud,58,34,1,58
Philippines,Alabel,19,16,0,19
India,Alandi,121,24,0,121
Italy,Alcamo,64,45,0,64
Syrian Arab Republic,Aleppo,73,48,0,73
Spain,Almansa,32,32,1,22
Brazil,Altamira,39,2,0,39
Italy,Altamura,42,42,1,20
Germany,Altensteig,32,32,1,26
United Kingdom of Great Britain and Northern Ireland,Altrincham,59,32,1,59
Colombia,Amaga,125,0,8,125
India,Amarpur,181,124,1,181
India,Anandnagar,279,166,1,279
Madagascar,Andapa,23,23,0,10
Spain,Andoain,35,35,0,17
Germany,Angermunde,35,35,1,24
United States of America,Angleton,43,19,8,43
Uzbekistan,Angren,120,37,0,120
India,Annigeri,82,24,0,82
Turkey,Antalya,41,41,0,26
Colombia,Antioquia,85,3,6,85
Nigeria,Apomu,101,20,3,101
Netherlands,Appingedam,30,30,3,27
Turkey,Ardesen,33,31,0,33
,Ardrossan,69,33,0,69
Gabon,Port Gentil,108,31,0,108
Brazil,Portel,62,5,0,62
United States of America,Portland,48,48,2,36
Brazil,Posse,16,9,1,16
United States of America,Potomac,54,30,5,54
Hungary,Sarbogard,78,27,4,78
Japan,Sasayama,45,45,0,18
India,Sattur,62,27,1,62
United States of America,Scotch Plains,58,26,10,58
United Kingdom of Great Britain and Northern Ireland,Scunthorpe,43,19,7,43
France,Sedan,33,25,3,33
Thailand,Seka,57,28,0,57
United States of America,Selma,61,8,17,61
Brazil,Serra Talhada,26,15,0,26
Greece,Serrai,42,41,0,42
India,Serula,86,21,0,86
Japan,Shisui,62,62,1,28
India,Shoranur,74,24,1,74
Russian Federation,Sibirskiy,49,49,0,39
Turkey,Siirt,79,29,2,79
United States of America,Sikeston,92,12,16,92
Russian Federation,Sim,31,31,0,31
Switzerland,Sion,32,32,0,28
India,Sirkali,64,35,0,64
India,Siwani,500,38,0,500
Slovakia,Skalica,63,31,2,63
Poland,Skawina,58,34,2,58
Denmark,Skive,38,33,0,38
Russian Federation,Slavyanka,36,36,0,28
Ukraine,Soledar,51,26,12,51
United States of America,Somerset,44,33,5,44
Germany,Sonneberg,29,28,1,29
Russian Federation,Sosnovoborsk,45,34,0,45
Côte d'Ivoire,Soubre,74,4,1,74
United States of America,South Ogden,38,10,9,38
United Kingdom of Great Britain and Northern Ireland,Spalding,41,15,9,41
Italy,Spinea,54,39,3,54
United States of America,Spring Valley,59,26,10,59
United States of America,Stanford,64,30,11,64
,Stockholm,31,31,1,8
Germany,Strausberg,32,22,4,32
Serbia,Subotica,71,37,1,71
China,Suileng,57,46,0,57
Indonesia,Sumber,54,34,0,54
Niger,Say,31,18,1,31
United States of America,Sayville,45,30,9,45
United States of America,Schaumburg,77,9,22,77
Germany,Schiffweiler,29,29,1,22
United States of America,Scituate,45,35,5,45
India,Shamsabad,500,75,2,433
China,Shancheng,159,159,2,78
Mexico,Villa De Alvarez,75,11,4,75
Mexico,Villagran,52,26,2,52
Italy,Villasanta,67,27,7,67
Spain,Villaviciosa,31,31,1,21
Ukraine,Vinnitsa,44,37,1,44
Russian Federation,Vnukovo,52,24,5,52
Russian Federation,Volzhsk,62,36,0,62
United States of America,Wade Hampton,75,18,17,75
United States of America,Waianae,24,24,0,21
Indonesia,Waingapu,55,25,0,55
United States of America,Walpole,47,27,10,47
Poland,Warka,33,33,1,27
France,Wasquehal,46,36,2,46
United Kingdom of Great Britain and Northern Ireland,Watford,30,30,5,24
Belgium,Aartselaar,41,29,4,41
United Kingdom of Great Britain and Northern Ireland,Aberystwyth,44,21,4,44
Egypt,Abnub,150,47,2,150
Italy,Acqui Terme,70,34,3,70
Uganda,Adjumani,66,22,0,66
Tajikistan,Adrasmon,132,55,0,132
Somalia,Afgoye,27,22,0,27
India,Afzalpur,84,25,0,84
India,Aizawl,32,32,0,13
Egypt,Aja,70,53,3,70
India,Ajjampur,39,22,0,39
India,Akaltara,181,74,1,181
Japan,Akita,29,29,2,18
Germany,Albstadt,72,24,3,72
Brazil,Alegre,40,15,1,40
Serbia,Aleksinac,68,39,0,68
Brazil,Alhandra,25,23,1,25
Mexico,Allende,88,28,2,88
United States of America,Alpharetta,71,23,17,71
Ukraine,Alushta,44,44,0,16
India,Amod,151,29,0,151
Japan,Anan,43,43,1,16
Germany,Andernach,51,23,4,51
Philippines,Angeles,65,22,1,65
Colombia,Ansermanuevo,98,1,9,98
Panama,Anton,61,13,4,61
Uganda,Apac,69,26,0,69
Italy,Apricena,41,40,4,41
Brazil,Aracatuba,31,13,1,31
Brazil,Araripe,24,14,0,24
Venezuela (Bolivarian Republic of),Araure,84,0,9,84
Brazil,Areia Branca,21,21,0,19
France,Argenteuil,62,19,6,62
United States of America,Arkadelphia,73,26,3,73
Germany,Arnsberg,51,30,2,51
Uganda,Arua,63,19,0,63
Italy,Asola,106,30,9,106
Philippines,Astorga,39,15,0,39
India,Atraulia,188,188,1,182
Kazakhstan,Atyrau,43,39,0,43
France,Audincourt,61,30,1,61
Ghana,Axim,33,23,0,33
United States of America,Babylon,57,18,19,57
Germany,Bad Sassendorf,51,31,2,51
Spain,Baena,33,17,4,33
Australia,Ballina,34,34,1,15
India,Balrampur,168,167,1,168
Russian Federation,Baltiysk,33,33,0,30
Indonesia,Balung,100,45,1,100
India,Banat,156,156,2,154
Iran (Islamic Republic of),Bandar E Anzali,61,36,0,61
Iran (Islamic Republic of),Bandar E Lengeh,114,59,0,114
India,Bankra,178,107,6,178
India,Bansgaon,179,177,1,179
India,Baran,173,42,0,173
Brazil,Barbacena,59,4,5,59
India,Barddhaman,160,130,3,160
India,Barh,167,139,1,167
United Kingdom of Great Britain and Northern Ireland,Barnstaple,34,23,3,34
Germany,Barsbuttel,33,33,1,32
India,Barwani,151,33,0,151
India,Basirhat,176,89,6,176
Turkey,Batman,63,42,2,63
Brazil,Bauru,45,11,2,45
Philippines,Bocaue,65,23,1,65
Mexico,Bochil,56,17,4,56
Russian Federation,Bogdanovich,54,33,2,54
Russian Federation,Boguchany,38,30,0,38
Ukraine,Borodyanka,81,37,1,81
Brazil,Botelhos,47,9,2,47
Côte d'Ivoire,Bouake,62,15,1,62
Romania,Brad,64,39,1,64
South Africa,Brakpan,236,10,16,236
United States of America,Brattleboro,31,25,4,31
Romania,Breaza,52,41,0,52
Brazil,Brejo Da Madre De Deus,27,15,1,27
Germany,Bruchkobel,51,27,3,51
Poland,Brzeszcze,96,31,6,96
Poland,Brzeziny,66,28,3,66
Philippines,Buayan,36,16,0,36
Mongolia,Bulgan,37,37,0,12
Papua New Guinea,Bulolo,13,13,0,7
Australia,Bundaberg,32,32,0,10
Saudi Arabia,Buqayq,183,54,0,183
Bulgaria,Burgas,40,40,0,25
Germany,Burglengenfeld,43,35,2,43
Brazil,Caapora,26,23,1,26
Dominican Republic,Cabral,76,10,9,76
Mexico,Cacahoatan,102,11,9,102
Mexico,Cacalomacan,80,10,9,80
Spain,Caceres,27,27,2,23
Brazil,Cajati,33,10,1,33
Portugal,Caldas De Vizela,24,24,2,22
Angola,Caluquembe,42,12,0,42
Brazil,Cambui,54,11,3,54
Brazil,Canela,51,14,3,51
Italy,Canelli,78,37,3,78
United States of America,Canon City,74,24,4,74
Italy,Cantu,111,34,5,111
Brazil,Carambei,30,15,0,30
Italy,Carmagnola,82,38,3,82
Philippines,Carmen,80,26,0,80
United States of America,Casas Adobes,42,14,11,42
Serbia,Surdulica,59,37,0,59
United Kingdom of Great Britain and Northern Ireland,Sutton In Ashfield,34,31,2,34
South Africa,Swellendam,71,4,3,71
China,Tachi,170,170,1,120
,Tacloban,64,23,0,64
,Tadotsu,45,45,1,26
Japan,Tahara,44,44,1,19
Iran (Islamic Republic of),Talesh,46,35,0,46
United States of America,Tamarac,150,4,18,150
Malaysia,Tanah Merah,76,30,0,76
China,Tanggu,134,111,5,134
Malaysia,Tanjong Malim,90,47,0,90
France,Tarnos,60,45,1,60
France,Tassin La Demi Lune,30,24,3,30
Germany,Tauberbischofsheim,52,34,3,52
Sudan,Tawkar,152,27,0,152
United States of America,Taylorville,57,37,6,57
Mexico,Tecoman,28,11,2,28
Mexico,Tecuala,54,12,1,54
Mexico,Tejupilco,67,4,6,67
United States of America,Tempe,52,12,20,52
United States of America,Temple Terrace,73,10,20,73
Mexico,Tenancingo,224,0,15,224
,Ternate,22,16,0,22
United States of America,Terrell,60,20,4,60
United States of America,The Colony,71,17,6,71
Greece,Thivai,43,43,0,25
France,Thouars,30,30,2,26
Mexico,Tijuana,59,20,17,59
United Republic of Tanzania,Tingi,24,17,0,24
India,Tinsukia,40,27,0,40
India,Tirumullaivasal,59,32,0,59
Afghanistan,Tokzar,77,40,0,77
Colombia,Tolu,58,0,6,58
Russian Federation,Tomilino,60,20,15,60
,Torre Del Greco,52,36,10,52
Côte d'Ivoire,Touba,29,14,0,29
France,Tournefeuille,31,29,2,31
Greece,Tripoli,44,44,0,30
Peru,Trujillo,47,16,2,47
Brazil,Tucuma,46,18,0,46
Czechia,Turnov,63,26,3,63
Russian Federation,Tutayev,35,28,2,35
Viet Nam,Tuy Hoa,51,26,0,51
Iran (Islamic Republic of),Tuysarkan,67,48,0,67
Brazil,Uaua,20,13,1,20
Mexico,Union Hidalgo,72,19,1,72
United States of America,Universal City,31,18,2,31
Philippines,Urdaneta,77,26,1,77
Romania,Urlati,46,39,2,46
United Republic of Tanzania,Usa River,45,10,0,45
Czechia,Usti Nad Orlici,58,25,3,58
United Republic of Tanzania,Utete,30,17,0,30
India,Uttarkashi,65,57,0,65
Finland,Uusikaupunki,28,28,1,5
Ukraine,Uzhhorod,68,41,1,68
Brazil,Valenca,15,15,0,15
Italy,Varedo,78,43,2,78
United States of America,Vega Alta,113,24,0,113
Colombia,Velez,53,3,5,53
France,Venissieux,31,25,3,31
France,Vernouillet,60,20,6,60
South Africa,Verwoerdburg,201,12,16,201
Russian Federation,Vichuga,52,25,5,52
India,Vikravandi,70,31,2,70
Portugal,Vilar Do Paraiso,29,29,2,21
Argentina,Villeta,90,5,3,90
Germany,Villingen Schwenningen,68,25,3,68
Turkey,Viransehir,63,39,0,63
France,Viroflay,63,18,7,63
Brazil,Visconde Do Rio Branco,36,14,1,36
Germany,Visselhovede,33,33,1,33
Italy,Vittoria,57,26,6,57
Germany,Vohringen,71,32,2,71
France,Voisins Le Bretonneux,63,17,7,63
Italy,Volterra,35,35,4,13
Russian Federation,Vurnary,55,29,1,55
Germany,Wadern,53,30,3,53
Germany,Wadersloh,46,32,2,46
United States of America,Walker,47,37,4,47
Indonesia,Wanaraja,57,29,1,57
Germany,Warendorf,39,34,1,39
Germany,Wedel,33,33,1,31
Poland,Wejherowo,33,33,0,25
United States of America,Wells,29,29,5,29
Germany,Wendlingen,64,27,3,64
Germany,Wermelskirchen,47,27,3,47
United States of America,West Bend,54,26,12,54
United States of America,West Saint Paul,50,37,5,50
Canada,Wetaskiwin,41,41,0,9
Switzerland,Wetzikon,113,28,2,113
United States of America,Willimantic,35,25,7,35
United States of America,Winnetka,63,23,21,63
Poland,Wisla,77,37,2,77
United States of America,Woodbury,56,19,16,56
United States of America,Wright,72,29,2,72
Kenya,Wundanyi,40,14,0,40
China,Xiazhen,151,151,4,99
China,Xiongyue,115,115,1,99
Cameroon,Yagoua,57,14,0,57
Mexico,Yahualica,51,9,4,51
United States of America,Yeadon,59,17,18,59
Japan,Yoshikawa,51,46,4,51
Japan,Yotsukaido,60,60,3,46
China,Yudong,171,24,24,171
Netherlands,Zevenaar,37,32,2,37
China,Zhangzhou,145,145,3,107
China,Zhumadian,137,137,2,81
Belarus,Zlobin,71,35,0,71
Peru,Zorritos,26,20,0,26
Iran (Islamic Republic of),Behbahan,133,72,0,133
France,Bellegarde Sur Valserine,54,28,1,54
Russian Federation,Beloretsk,37,37,0,34
Russian Federation,Belyye Berega,37,37,0,10
Viet Nam,Ben Tre,77,27,2,77
Egypt,Beni Mazar,95,52,2,95
Liberia,Bensonville,56,18,0,56
United States of America,Bethel Park,44,44,4,36
France,Bethune,49,28,3,49
Russian Federation,Bezenchuk,49,38,0,49
India,Bhavani,57,29,1,57
Poland,Biala Podlaska,42,39,0,42
Poland,Bielawa,69,21,4,69
Italy,Biella,90,40,2,90
United States of America,Big Spring,61,30,1,61
Germany,Bingen,53,27,3,53
Denmark,Birkerod,36,36,1,26
United States of America,Bound Brook,64,14,20,64
,Broadstairs,41,35,1,41
Spain,Soller,51,51,1,18
South Africa,Somerset East,63,7,3,63
Germany,Sommerda,58,31,5,58
Nicaragua,Somotillo,77,3,7,77
India,Soro,97,51,0,97
Russian Federation,Sosenskiy,34,34,0,34
United States of America,South Lyon,87,23,14,87
United States of America,South River,55,27,11,55
Malaysia,Sri Aman,50,10,0,50
India,Sri Madhopur,283,43,0,283
Germany,Stadtallendorf,72,34,7,72
Russian Federation,Staraya Russa,31,31,0,20
Russian Federation,Starominskaya,38,38,1,4
India,Suar,126,85,1,126
United States of America,Suisun City,50,25,10,50
Indonesia,Sukaraja,67,40,1,67
United Republic of Tanzania,Sumbawanga,23,21,0,23
United States of America,Sun Prairie,41,26,4,41
United States of America,Upper Arlington,74,27,13,74
Uzbekistan,Urtaaul,150,84,2,150
Russian Federation,Usinsk,32,31,0,32
Russian Federation,Usolye Sibirskoye,52,43,1,52
Poland,Ustka,41,25,1,41
Spain,Utiel,55,28,2,55
Russian Federation,Uyar,32,32,0,15
Denmark,Vaerlose,36,29,3,36
Romania,Valea Calugareasca,50,42,0,50
United States of America,Valinda,140,2,34,140
