Country,City,AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Costa Rica,Esparta,60,17,6,60
Ukraine,Feodosiya,42,42,0,20
Italy,Fermo,53,36,8,53
,Ficarazzi,40,40,2,30
Comoros,Fomboni,26,26,0,23
Russian Federation,Gzhatsk,30,30,0,10
Bangladesh,Habiganj,61,35,2,61
India,Akhnur,115,115,0,97
Cuba,Alquizar,60,26,3,60
United States of America,Amarillo,64,23,3,64
Germany,Amberg,42,35,2,42
United States of America,Anaheim,92,11,31,92
France,Annecy Le Vieux,65,29,1,65
Chile,Antofagasta,56,14,2,56
Belgium,Antwerp,39,30,3,39
Indonesia,Astanajapura,61,36,0,61
Italy,Avigliana,66,36,1,66
Turkey,Babaeski,42,42,0,14
Russian Federation,Bachatskiy,37,37,1,34
India,Baduria,178,91,7,178
France,Baie Mahault,150,25,0,150
China,Baiyin,91,91,0,72
Russian Federation,Balashov,37,37,0,26
Russian Federation,Balezino,29,29,0,25
Brazil,Balsas,50,10,0,50
Venezuela (Bolivarian Republic of),Barcelona,163,8,8,163
India,Barwaha,153,35,0,153
Uruguay,Canelones,36,18,2,36
Italy,Cassano Delle Murge,45,45,2,30
Italy,Castel San Giorgio,48,42,6,48
Myanmar,Chauk,23,23,0,18
Sri Lanka,Chavakachcheri,55,26,0,55
Zimbabwe,Chegutu,42,17,0,42
Italy,Chieti,55,36,10,55
Zambia,Chililabombwe,57,20,0,57
Guatemala,Chimaltenango,109,9,11,109
Indonesia,Cikarang,132,132,1,127
Canada,Collingwood,41,30,5,41
United States of America,Columbine,73,9,13,73
France,Comines,46,30,3,46
Brazil,Conceicao Da Feira,35,13,2,35
Italy,Cormano,100,35,5,100
Italy,Cortona,36,36,2,22
Brazil,Cruzilia,43,9,3,43
Ghana,Akwatia,150,8,3,150
United States of America,Alameda,67,22,18,67
Pakistan,Alipur Chatha,163,163,2,160
Italy,Alzano Lombardo,66,24,5,66
Ecuador,Ambato,38,2,2,38
Afghanistan,Anar Darreh,126,42,0,126
,Angra Dos Reis,105,6,11,105
Belgium,Ans,37,22,4,37
,Armacao Dos Buzios,57,7,8,57
Belgium,Aywaille,31,24,3,31
Philippines,Baculongan,26,21,1,26
Germany,Bad Oldesloe,37,29,1,37
Switzerland,Bad Sackingen,40,21,3,40
Thailand,Ban Tak,42,20,0,42
China,Baoding,164,164,4,149
Italy,Baronissi,56,56,1,38
Indonesia,Batu,78,35,1,78
United States of America,Beacon,53,33,6,53
Belgium,Vilvoorde,44,27,4,44
Netherlands,Voerendaal,43,25,4,43
Croatia,Vukovar,69,39,1,69
Pakistan,Warburton,159,152,1,159
Germany,Weingarten,84,33,3,84
Germany,Wertheim,52,33,2,52
United States of America,West Freehold,46,22,13,46
United States of America,Whitman,38,23,9,38
China,Wuda,87,87,0,87
China,Xifeng,91,91,1,72
China,Yantai,97,75,4,97
Russian Federation,Yaroslavskiy,55,38,0,55
United States of America,Yorba Linda,99,10,30,99
Azerbaijan,Zabrat,95,36,0,95
Poland,Zyrardow,57,35,2,57
Switzerland,Thalwil,113,27,3,113
Myanmar,Tharrawaddy,54,21,0,54
France,Thionville,50,28,3,50
Mexico,Tianguistenco,160,7,15,160
Greece,Tirnavos,42,41,1,42
Japan,Tobe,53,53,1,29
Japan,Tomiya,33,33,1,18
Iran (Islamic Republic of),Tonekabon,36,36,0,12
